#Configuration:
    CALCULUS_METHOD:    1               # 0: basic, 1: jerk, 2:basic_Schwarzschild, 3: jerk_Schwarzschild
    SIMULATION_STEPS:   288000000
    STEPS_PER_PLOT:     240             # 4*60
    STEP_TIME:          60              # Seconds
    START_EPOCH_TIME:   1520294400      # Epoc of 2018-Mar-06 00:00:00.0000 TDB. 
    METERS_PER_PIXEL:   1.0e-10         # UNIX Epoch time is the number of seconds that have elapsed since 
                                        # 00:00:00 Coordinated Universal Time (UTC), Thursday, 1 January 1970. 
                                        # [https://en.wikipedia.org/wiki/Unix_time]
    MAX_ORBIT_POINTS:   50000           # Avoid hard graphic computing, try to use less than 10000
    SCREEN_PERCENT:     50              # Size of screen in % 
    SCREEN_RESIZABLE:   true            # true or false
    COLOR_SCREEN:       21,21,21        # Screen color in R,G,B
    COLOR_DATE:         255,0,0         # Screen color in R,G,B
    COLOR_SCALE:        0,255,0         # Screen color in R,G,B
    COLOR_ANGLE:        102,255,255     # Screen color in R,G,B
#   SYSTEM_SPEED_X:     0               # System speed x in (km/s)
#   SYSTEM_SPEED_Y:     0               # System speed y in (km/s)
#   SYSTEM_SPEED_Z:     -200            # System speed z in (km/s)

#   Name,    mass (Kg),   radio(m),               x0 (km) ,               y0 (km) ,                z0 (km),             vx0 (km/s),             vy0 (km/s),             vz0 (km/s),   R,   G,   B"""
SUN             ,  1.98847449235295491E+30,  6.95700000000000000E+08,  2.11516339518936293E+05,  9.62939599157782621E+05, -1.65837846481093475E+04, -1.08774087362059103E-02,  7.89567604308217055E-03,  2.58829858296729287E-04, 255, 255, 255
MERCURY         ,  3.30109464774269867E+23,  2.44000000000000000E+06,  3.06529054570759274E+07,  3.66831772727418244E+07,  1.09554838583100587E+05, -4.67460561243973274E+01,  3.36249246498437486E+01,  7.03467321462041983E+00, 255, 255, 255
VENUS           ,  4.86746399666494982E+24,  6.05184000000000000E+06,  1.03811687599174529E+08,  3.27483546065353304E+07, -5.55896457270135172E+06, -1.04057514152425554E+01,  3.33322821093853818E+01,  1.05723684246822103E+00, 255, 255, 255
# Earth system
EARTH           ,  5.97236248730555864E+24,  6.37101000000000000E+06, -1.43203085334955215E+08,  3.90951387046329305E+07, -1.80339651166740769E+04, -8.15537503919745532E+00, -2.88816060895463345E+01,  1.27511209648112377E-03, 255, 255, 255
MOON            ,  7.34602790007214514E+22,  1.73753000000000000E+06, -1.43517348467993140E+08,  3.88708512525994480E+07,  1.68130649549104346E+04, -7.61808693321010733E+00, -2.97409187631934948E+01,  2.10026306297983537E-02, 255, 255, 255
# Mars system
MARS            ,  6.41711746352094309E+23,  3.38992000000000000E+06, -1.68036325100435793E+08, -1.61913947174952507E+08,  6.99539767137348768E+05,  1.77515240667120082E+01, -1.53280888985578976E+01, -7.56992755410948237E-01, 255, 255, 255
PHOBOS          ,  1.00000000000000000E+00,  1.31000000000000000E+04, -1.68028899496169716E+08, -1.61918271378514409E+08,  6.95705884134985623E+05,  1.86374572756475878E+01, -1.34238388039706660E+01, -1.11179488884866906E+00, 93, 67, 192
DEIMOS          ,  1.00000000000000000E+00,  7.80000000000000000E+03, -1.68042391866822571E+08, -1.61891819572303832E+08,  7.04401785936824977E+05,  1.65758769971104769E+01, -1.57614252348432267E+01, -2.50514685641085144E-01, 188, 127, 80
# Jupiter system
JUPITER         ,  1.89818635777849371E+27,  6.99110000000000000E+07, -5.90944178168927908E+08, -5.54135189045835853E+08,  1.55164256760293860E+07,  8.78337307064819761E+00, -8.90853444069843015E+00, -1.59445516469714388E-01, 255, 255, 255
IO              ,  1.00000000000000000E+00,  1.82130000000000000E+06, -5.91337647096337914E+08, -5.53987916753816009E+08,  1.55161795107332189E+07,  2.70910312440226564E+00, -2.52051214814476161E+01, -8.29820237738278732E-01, 195, 75, 133
EUROPA          ,  1.00000000000000000E+00,  1.56500000000000000E+06, -5.90292464281496286E+08, -5.54265306423235893E+08,  1.55232509979955554E+07,  1.14696047761957569E+01,  4.68803973532971163E+00,  4.73057493660263950E-01, 80, 141, 187
GANYMEDE        ,  1.00000000000000000E+00,  2.63400000000000000E+06, -5.92008150177506328E+08, -5.54010443485592723E+08,  1.55070011250265818E+07,  7.53350707503076400E+00, -1.97000233404234493E+01, -5.84340370732631231E-01, 154, 132, 127
CALLISTO        ,  1.00000000000000000E+00,  2.40300000000000000E+06, -5.89075863413392782E+08, -5.54178470741053820E+08,  1.55400233588233925E+07,  8.96389506602301012E+00, -6.52131721391994046E-01,  1.04064770608022411E-01, 115, 180, 199
AMALTHEA        ,  1.00000000000000000E+00,  1.31000000000000000E+05, -5.91027289371343970E+08, -5.54295594371062875E+08,  1.55100221335707642E+07,  3.23551697439199231E+01, -2.11515380030555669E+01, -9.85824001002191391E-02, 68, 194, 82
HIMALIA         ,  2.04285739265068442E+18,  8.50000000000000000E+04, -5.91354158100707054E+08, -5.66100168876259923E+08,  1.07775020467359740E+07,  1.15190408967574793E+01, -8.39404396755768545E+00, -1.07911805346054890E+00, 229, 255, 255
ELARA           ,  1.00000000000000000E+00,  4.00000000000000000E+04, -5.89378091573976994E+08, -5.40689834264871120E+08,  1.44352586218641102E+07,  6.40415136705060739E+00, -8.30993757572873726E+00,  1.19993621577155496E+00, 185, 160, 106
PASIPHAE        ,  1.00000000000000000E+00,  1.80000000000000000E+04, -5.78568678544764757E+08, -5.81058486653476715E+08,  3.02771246912138499E+07,  7.34039147054694574E+00, -8.84627466232726611E+00, -4.23564535167187728E-01, 77, 83, 191
SINOPE          ,  1.00000000000000000E+00,  1.40000000000000000E+04, -6.12077378268914223E+08, -5.63757644198001862E+08,  1.79952367973808348E+07,  7.12702529442575994E+00, -7.34727476603541696E+00, -8.55892032753737930E-01, 105, 83, 119
LYSITHEA        ,  1.00000000000000000E+00,  1.20000000000000000E+04, -5.95556855591231823E+08, -5.65096982170133352E+08,  9.65498706121653318E+06,  1.14440112505888418E+01, -1.00022388272722225E+01, -3.65168465875894521E-01, 100, 70, 152
CARME           ,  1.00000000000000000E+00,  1.50000000000000000E+04, -6.10065995664939642E+08, -5.71105479375304222E+08,  1.26439405207668245E+07,  7.74232245042384637E+00, -7.11106711904041866E+00,  3.51962869238234222E-01, 92, 199, 100
ANANKE          ,  1.00000000000000000E+00,  1.00000000000000000E+04, -6.11950472697401166E+08, -5.50073949989847660E+08,  2.59228670897737192E+06,  8.72988888709358157E+00, -6.89745270247458553E+00, -3.02489836382237309E-01, 142, 180, 74
LEDA            ,  1.00000000000000000E+00,  5.00000000000000000E+03, -5.99587896819481850E+08, -5.59483339042541504E+08,  1.71017636426926516E+07,  1.03059041831715597E+01, -1.17611710490443695E+01,  1.52870564196125214E+00, 170, 134, 74
THEBE           ,  1.00000000000000000E+00,  5.00000000000000000E+04, -5.90770780647484064E+08, -5.53996807382682681E+08,  1.55229943024015706E+07, -5.81506189321883316E+00,  1.00133796855086441E+01,  7.40741168594426291E-01, 109, 133, 103
ADRASTEA        ,  1.00000000000000000E+00,  1.00000000000000000E+04, -5.90815772178087950E+08, -5.54147014927659988E+08,  1.55178732387126461E+07,  1.16511819830136787E+01,  2.23925791507407510E+01,  9.96207257208590491E-01, 140, 103, 182
METIS           ,  1.00000000000000000E+00,  2.00000000000000000E+04, -5.90958481424484611E+08, -5.54262288320475101E+08,  1.55116841204385832E+07,  4.01502450019312818E+01, -1.24664610161569591E+01,  1.76319628705668252E-01, 74, 162, 153
CALLIRRHOE      ,  1.00000000000000000E+00,  1.00000000000000000E+00, -6.08389170963196754E+08, -5.57498153082328439E+08,  2.11759624168374501E+07,  6.92352886945911195E+00, -6.87865612001534377E+00, -1.03417755531252453E+00, 190, 151, 183
THEMISTO        ,  1.00000000000000000E+00,  1.00000000000000000E+00, -5.84644742530204773E+08, -5.53419918975741029E+08,  1.62045426846078057E+07,  7.75890577609905918E+00, -5.71773627572426157E+00, -3.53252722652176665E+00, 185, 75, 184
MAGACLITE       ,  1.00000000000000000E+00,  1.00000000000000000E+00, -5.98824133853577733E+08, -5.70162651794731736E+08,  2.68130289098684825E+07,  6.21323333406102840E+00, -8.64491030279101302E+00, -1.13788712837157746E-01, 107, 176, 196
TAYGETE         ,  1.00000000000000000E+00,  1.00000000000000000E+00, -5.79336751929615617E+08, -5.78041396674784064E+08,  2.20445041464424692E+07,  7.19107137532935692E+00, -9.93402557547460852E+00, -1.32238855194146705E-02, 176, 139, 134
CHALDENE        ,  1.00000000000000000E+00,  1.00000000000000000E+00, -5.82531671146933913E+08, -5.70619543085547447E+08,  1.06005234287220836E+07,  6.19951041943220105E+00, -9.84410759180034312E+00, -1.22845052666580301E-02, 95, 111, 170
HARPALYKE       ,  1.00000000000000000E+00,  1.00000000000000000E+00, -6.07457039553916454E+08, -5.42443960710411310E+08,  4.87478611547082756E+06,  9.51383499356161622E+00, -6.87829301834037743E+00,  3.29461370226309780E-01, 175, 94, 199
KALYKE          ,  1.00000000000000000E+00,  1.00000000000000000E+00, -5.67568749459894300E+08, -5.71081963832275629E+08,  1.76764495978221968E+07,  7.62584049044102574E+00, -1.01653337279723210E+01, -6.15671185768494778E-01, 90, 188, 160
IOCASTE         ,  1.00000000000000000E+00,  1.00000000000000000E+00, -6.06354740251152635E+08, -5.41490609567591548E+08,  1.39033955085913539E+07,  9.72601242372096841E+00, -6.95485022616904747E+00, -1.51535249716132325E+00, 129, 113, 152
ERINOME         ,  1.00000000000000000E+00,  1.00000000000000000E+00, -5.74162943616284609E+08, -5.41995384069103837E+08,  1.42759147611979246E+07,  9.60834856704592610E+00, -1.13185238000839892E+01,  4.53191389499402519E-01, 91, 104, 132
ISONOE          ,  1.00000000000000000E+00,  1.00000000000000000E+00, -6.18136737947727442E+08, -5.59469263381763935E+08,  1.72386137821298875E+07,  8.23173815530650899E+00, -7.12726986205686508E+00,  3.52850341836721815E-01, 103, 146, 178
PRAXIDIKE       ,  1.00000000000000000E+00,  1.00000000000000000E+00, -5.99913812148463964E+08, -5.41879340672137022E+08,  1.15731759576225597E+07,  1.13836416047914106E+01, -7.87026273505381280E+00, -1.63986154009130081E+00, 82, 84, 165
AUTONOE         ,  1.00000000000000000E+00,  1.00000000000000000E+00, -6.08717234723147631E+08, -5.40324278165857553E+08,  1.00838531704202294E+07,  9.64831169718180170E+00, -7.03684539112685670E+00, -1.25201777935690561E+00, 118, 76, 137
THYONE          ,  1.00000000000000000E+00,  1.00000000000000000E+00, -5.73611658686456323E+08, -5.45741024812622666E+08,  1.84831330301365280E+06,  1.00802661444543933E+01, -1.06641408731882112E+01, -3.28774946305250337E-01, 73, 120, 193
HERMIPPE        ,  1.00000000000000000E+00,  1.00000000000000000E+00, -5.92965684444002151E+08, -5.37066412974497795E+08,  6.53479231122291181E+06,  1.13582992132396701E+01, -8.63874601894860028E+00,  3.81227747533742889E-01, 86, 145, 142
AITNE           ,  1.00000000000000000E+00,  1.00000000000000000E+00, -6.02996562433070540E+08, -5.28522142740529060E+08,  1.14306540345664043E+07,  1.02658193978361751E+01, -7.97998960109068900E+00,  2.11573246395103415E-01, 181, 80, 129
EURYDOME        ,  1.00000000000000000E+00,  1.00000000000000000E+00, -5.72628469408367753E+08, -5.48794212784886956E+08,  1.47651926375366766E+07,  1.04471552304396358E+01, -1.08397852542417112E+01,  9.94901076278616903E-01, 82, 173, 115
EUANTHE         ,  1.00000000000000000E+00,  1.00000000000000000E+00, -5.90301035493730545E+08, -5.33695958307151437E+08,  5.42859050079223607E+06,  1.07472104303005249E+01, -9.71034889370955234E+00, -9.08160853050259953E-01, 89, 165, 113
EUPORIE         ,  1.00000000000000000E+00,  1.00000000000000000E+00, -6.01206227377132773E+08, -5.68940522275705218E+08,  5.59275999574682210E+06,  7.04411161295911814E+00, -7.42584524087202791E+00, -9.44397775480411927E-01, 181, 192, 124
ORTHOSIE        ,  1.00000000000000000E+00,  1.00000000000000000E+00, -6.00276236774604559E+08, -5.74101901859696507E+08,  2.36943171601525806E+07,  6.94798017363713427E+00, -8.50563195765835189E+00,  9.80641746086513333E-01, 156, 116, 195
SPONDE          ,  1.00000000000000000E+00,  1.00000000000000000E+00, -5.89315631713500142E+08, -5.81395082350773931E+08,  1.25383455953517556E+06,  7.14946402798527902E+00, -9.17204108880662083E+00,  3.95904614186624038E-02, 171, 108, 116
